CÓDIGO;EMPRESA;LINHA;SE;VEÍCULO;ORIGEM;DESTINO;VIA;HORASMES;PISO 1;PISO 2;TOTAL;PASSAGEIROSMES
108;COOPELOTAÇÃO - COOP.DE TRANSP. LOT. DE SALVADOR E REG METROPOLITANA;891;;URBANO;LAURO DE FREITAS;ITAPUÃ ;ITINGA;2.046;14;0;14;12.890
108;COOPELOTAÇÃO - COOP.DE TRANSP. LOT. DE SALVADOR E REG METROPOLITANA;890;A;URBANO;PARQUE SÃO PAULO;PRAIA FLAMENGO;ITAPUÃ;3.782;19;0;19;23.827
108;COOPELOTAÇÃO - COOP.DE TRANSP. LOT. DE SALVADOR E REG METROPOLITANA;892;I;URBANO;PORTÃO;ITAPUÃ ;ESTRADA DO CÔCO;3.843;15;0;15;24.211
108;COOPELOTAÇÃO - COOP.DE TRANSP. LOT. DE SALVADOR E REG METROPOLITANA;890;;URBANO;VIDA NOVA;PRAIA FLAMENGO;ITAPUÃ;3.782;19;0;19;23.827
108;COOPELOTAÇÃO - COOP.DE TRANSP. LOT. DE SALVADOR E REG METROPOLITANA;892;A;URBANO;VILA DE ABRANTES;ITAPUÃ ;BA.099/PIT(PORTÃO);5.642;19;0;19;35.545
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;838;;URBANO;AREIA BRANCA;ITAIGARA;;212;38;0;38;7.717
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;856;A;URBANO;AREMBEPE;EST. TRANSB.  RODOVIÁRIOOVIÁRIA;JAUÁ;176;57;0;57;6.406
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;857;;URBANO;AREMBEPE;TERMINAL DA FRANÇA;ITAPUÃ ;75;62;0;62;2.735
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;857;I;URBANO;AREMBEPE;TERMINAL DA FRANÇA;ITAPUÃ ;2.037;62;0;62;74.131
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;937;;URBANO;BURAQUINHO;TERMINAL DA FRANÇA;PARALELA;859;36;0;36;31.268
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;855;;URBANO;ITINGA;ESTAÇÃO DA LAPA;AV. CENTENÁRIO;925;33;0;33;33.670
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;881;;URBANO;ITINGA;ITAIGARA;ITAPUÃ;1.334;31;0;31;48.558
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;882;;URBANO;ITINGA;TERMINAL DA FRANÇA;ITAPUÃ / BONOCÔ;1.566;39;0;39;57.002
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;807;;URBANO;MONTE GORDO;TERM INTEG ACESSO NORTE;;930;79;0;79;33.852
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;883;;URBANO;PORTÃO;TERM INTEG ACESSO NORTE;PARALELA;3.362;37;0;37;122.377
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;854;;URBANO;PORTÃO;TERMINAL DA FRANÇA;BONOCÔ / TÚNEL;800;43;0;43;29.120
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;862;;URBANO;VIDA NOVA;BOCA DA MATA;;2.048;29;0;29;74.547
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;855;A;URBANO;VIDA NOVA;ESTAÇÃO DA LAPA;ITINGA;911;33;0;33;33.160
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;883;A;URBANO;VIDA NOVA;TERM INTEG ACESSO NORTE; PARALELA;1.813;37;0;37;65.993
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;883;A2;URBANO;VIDA NOVA;TERM INTEG ACESSO NORTE;PARALELA;203;38;0;38;7.389
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;854;A;URBANO;VIDA NOVA;TERMINAL DA FRANÇA;BONOCÔ / TÚNEL;1.178;43;0;43;42.879
127;BTU - BAHIA TRANSPORTES URBANOS LTDA;882;A;URBANO;VIDA NOVA;TERMINAL DA FRANÇA;ITINGA;1.222;39;0;39;44.481
207;TURIM TRANSPORTES E SERVIÇOS LTDA.;803;A2;.CAR;NOVA DIAS D'ÁVILA ;ESTAÇÃO DA LAPA;BR.324;0;68;0;68;0
207;TURIM TRANSPORTES E SERVIÇOS LTDA.;803;A;CAR;SALVADOR ;NOVA DIAS D'ÁVILA;DIAS D'ÁVILA;248;59;0;59;7.638
207;TURIM TRANSPORTES E SERVIÇOS LTDA.;803;;RODOVIÁRIO;SALVADOR ;DIAS D'ÁVILA;BR.324;53;55;0;55;1.632
207;TURIM TRANSPORTES E SERVIÇOS LTDA.;803;A3;RODOVIÁRIO;SALVADOR ;MATA DE SÃO JOÃO;DIAS D'ÁVILA;53;65;0;65;1.632
207;TURIM TRANSPORTES E SERVIÇOS LTDA.;803;A;RODOVIÁRIO;SALVADOR ;NOVA DIAS D'ÁVILA;DIAS D'ÁVILA;744;59;0;59;22.915
207;TURIM TRANSPORTES E SERVIÇOS LTDA.;803;A2;URBANO;NOVA DIAS D'ÁVILA ;EST. AQUIDABÃ;ESTAÇÃO RETIRO;897;68;0;68;32.651
207;TURIM TRANSPORTES E SERVIÇOS LTDA.;877;;URBANO;NOVA DIAS D'ÁVILA ;TERMINAL DA FRANÇA;ESTAÇÃO RETIRO;424;63;0;63;15.434
283;VIAÇÃO REGIONAL S/A;800;;.CAR;SALVADOR;CAMAÇARI;BR.324;424;49;0;49;13.059
283;VIAÇÃO REGIONAL S/A;800;;EXECUTIVO;SALVADOR ;CAMAÇARI;BR.324;505;49;0;49;15.554
283;VIAÇÃO REGIONAL S/A;800;;RODOVIÁRIO;SALVADOR;CAMAÇARI;BR.324;682;49;0;49;21.006
283;VIAÇÃO REGIONAL S/A;800;A2;RODOVIÁRIO;SALVADOR;PÓLO PETROQUÍMICO;BR.324;44;48;0;48;1.355
283;VIAÇÃO REGIONAL S/A;800;A;URBANO;CAMAÇARI;EST. AQUIDABÃ;ESTAÇÃO RETIRO;748;56;0;56;27.243
296;VIAÇÃO JAUÁ LTDA;804;;EXECUTIVO;SALVADOR;CANDEIAS;COVA DO DEFUNTO;318;48;0;48;9.794
296;VIAÇÃO JAUÁ LTDA;804;;RODOVIÁRIO;SALVADOR;CANDEIAS;COVA DO DEFUNTO;1.283;48;0;48;39.516
296;VIAÇÃO JAUÁ LTDA;804;A;RODOVIÁRIO;SALVADOR;MADRE DE DEUS;BR324 / CANDEIAS;478;61;0;61;14.722
315;VIAÇÃO SOL DE ABRANTES LTDA;808;E;RODOVIÁRIO;CAMAÇARI;SALVADOR;VIA PARAFUSO;0;42;0;42;0
315;VIAÇÃO SOL DE ABRANTES LTDA;814;A;URBANO;CAMAÇARI;CALÇADA;ESTAÇÃO RETIRO;212;61;0;61;7.717
315;VIAÇÃO SOL DE ABRANTES LTDA;836;;URBANO;CAMAÇARI;S. FRANCISCO DO CONDE;BA.093;159;70;0;70;5.788
315;VIAÇÃO SOL DE ABRANTES LTDA;836;A2;URBANO;CAMAÇARI;SANTO AMARO;S. FRANCISCO DO CONDE;159;86;0;86;5.788
315;VIAÇÃO SOL DE ABRANTES LTDA;812;;URBANO;CAMAÇARI;SIMÕES FILHO;BA.093;2.124;23;0;23;77.314
315;VIAÇÃO SOL DE ABRANTES LTDA;808;I;URBANO;CAMAÇARI;TERM INTEG ACESSO NORTE;PARAFUSO;2.195;54;0;54;79.898
315;VIAÇÃO SOL DE ABRANTES LTDA;809;;URBANO;CANDEIAS;EST. AQUIDABÃ;ESTAÇÃO RETIRO;2.080;53;0;53;75.712
315;VIAÇÃO SOL DE ABRANTES LTDA;811;;URBANO;CANDEIAS;S. FRANCISCO DO CONDE;;1.760;22;0;22;64.064
315;VIAÇÃO SOL DE ABRANTES LTDA;814;;URBANO;PARAFUSO;CALÇADA;ESTAÇÃO RETIRO;53;50;0;50;1.929
315;VIAÇÃO SOL DE ABRANTES LTDA;808;A;URBANO;PÓLO PETROQUÍMICO;ESTAÇÃO DA LAPA;VIA PARAFUSO;146;70;0;70;5.304
315;VIAÇÃO SOL DE ABRANTES LTDA;813;;URBANO;SIMÕES FILHO;CANDEIAS;BR.324;2.399;22;0;22;87.324
321;TRANSPORTES COSTA VERDE LTDA;846;A;URBANO;KARTÓDROMO;ESTAÇÃO DA LAPA;AV. AMAR T. SANTOS;194;36;0;36;7.062
321;TRANSPORTES COSTA VERDE LTDA;846;A2;URBANO;KARTÓDROMO;ESTAÇÃO DA LAPA;PRAÇA DA ARCANJA;252;36;0;36;9.173
321;TRANSPORTES COSTA VERDE LTDA;846;;URBANO;LAURO DE FREITAS;ESTAÇÃO DA LAPA;AV. CENTENÁRIO;5.033;36;0;36;183.201
321;TRANSPORTES COSTA VERDE LTDA;841;A;URBANO;LOTEAMENTO MIRAGEM;PRACA DA SÉ ;ORLA MARÍTIMA;326;40;0;40;11.866
321;TRANSPORTES COSTA VERDE LTDA;860;I;URBANO;PORTÃO;TERMINAL DA FRANÇA;ITAPUÃ/TERM INTEG ACESSO NORTE;6.085;43;0;43;221.494
321;TRANSPORTES COSTA VERDE LTDA;860;I2;URBANO;PORTÃO;TERMINAL DA FRANÇA;RUA QUEIRA DEUS / TERM INTEG ACESSO NORTE;1.131;43;0;43;41.168
321;TRANSPORTES COSTA VERDE LTDA;841;;URBANO;VILAS DO ATLÂNTICO;PRACA DA SÉ ;ORLA MARÍTIMA;5.824;43;0;43;211.994
336;ARJ TRANSPORTES E CARGAS LTDA;900;;URBANO;DIAS D´ÁVILA;AREMBEPE;JAUÁ;434;46;0;46;15.798
